114 7.125 0.000564683 -2.77259 -7.47925
115 7.1875 0.000543346 -2.77259 -7.51776
116 7.25 0.000522502 -2.77259 -7.55688
117 7.3125 0.000502169 -2.77259 -7.59657
118 7.375 0.000482362 -2.77259 -7.63682
119 7.4375 0.000463093 -2.77259 -7.67758
120 7.5 0.00044437 -2.77259 -7.71885
121 7.5625 0.000426199 -2.77259 -7.7606
122 7.625 0.000408582 -2.77259 -7.80282
123 7.6875 0.000391519 -2.77259 -7.84548
124 7.75 0.000375009 -2.77259 -7.88856
125 7.8125 0.000359047 -2.77259 -7.93206
126 7.875 0.00034363 -2.77259 -7.97594
127 7.9375 0.00032875 -2.77259 -8.02021
128 8 0.0003144 -2.77259 -8.06485
129 8.0625 0.00030057 -2.77259 -8.10983
130 8.125 0.000287251 -2.77259 -8.15516
131 8.1875 0.000274432 -2.77259 -8.20081
132 8.25 0.000262103 -2.77259 -8.24677
133 8.3125 0.000250251 -2.77259 -8.29305
134 8.375 0.000238864 -2.77259 -8.33961
135 8.4375 0.000227931 -2.77259 -8.38647
136 8.5 0.000217438 -2.77259 -8.43359
137 8.5625 0.000207373 -2.77259 -8.48099
138 8.625 0.000197723 -2.77259 -8.52864
139 8.6875 0.000188475 -2.77259 -8.57654
140 8.75 0.000179616 -2.77259 -8.62469
141 8.8125 0.000171133 -2.77259 -8.67307
142 8.875 0.000163014 -2.77259 -8.72168
143 8.9375 0.000155245 -2.77259 -8.77051
144 9 0.000147815 -2.77259 -8.81955
145 9.0625 0.000140711 -2.77259 -8.8688
146 9.125 0.000133922 -2.77259 -8.91825
147 9.1875 0.000127435 -2.77259 -8.9679
148 9.25 0.000121239 -2.77259 -9.01774
149 9.3125 0.000115323 -2.77259 -9.06777
150 9.375 0.000109676 -2.77259 -9.11798
151 9.4375 0.000104287 -2.77259 -9.16836
152 9.5 9.91457e-005 -2.77259 -9.21892
153 9.5625 9.42422e-005 -2.77259 -9.26964
154 9.625 8.95666e-005 -2.77259 -9.32053
155 9.6875 8.51095e-005 -2.77259 -9.37157
156 9.75 8.08618e-005 -2.77259 -9.42277
157 9.8125 7.68144e-005 -2.77259 -9.47412
158 9.875 7.29589e-005 -2.77259 -9.52561
159 9.9375 6.92871e-005 -2.77259 -9.57725
160 10 6.57907e-005 -2.77259 -9.62903
